epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,41909.4,1.23314,0.59257,0.00213,0.9149,0.78299,0.82636,0.6358,1.01375,0.41203,0.00195,0.005215,0.005215,0.005215
147,44518.7,1.23364,0.59034,0.00214,0.91523,0.78372,0.82531,0.63505,1.01504,0.41204,0.00196,0.005182,0.005182,0.005182
148,47086.8,1.23692,0.60038,0.00207,0.91596,0.78285,0.82452,0.6342,1.01488,0.41218,0.00196,0.005149,0.005149,0.005149
149,49651.2,1.24203,0.59764,0.00208,0.91627,0.78215,0.82415,0.63398,1.01437,0.41154,0.00196,0.005116,0.005116,0.005116
150,52229.5,1.2336,0.58997,0.00219,0.91677,0.78219,0.82355,0.63399,1.01358,0.41196,0.00195,0.005083,0.005083,0.005083
151,54812,1.21866,0.58241,0.00204,0.91932,0.78012,0.82529,0.6354,1.01388,0.41136,0.00195,0.00505,0.00505,0.00505
152,57383.4,1.2303,0.58217,0.00202,0.91756,0.78456,0.82538,0.63544,1.01376,0.41104,0.00195,0.005017,0.005017,0.005017
153,59979.9,1.23861,0.58183,0.00208,0.91669,0.78404,0.82591,0.6361,1.01336,0.41054,0.00194,0.004984,0.004984,0.004984
154,62539.2,1.239,0.59641,0.00199,0.91772,0.78365,0.82601,0.63575,1.01322,0.41061,0.00194,0.004951,0.004951,0.004951
155,65103.7,1.22653,0.57912,0.00208,0.91553,0.78465,0.827,0.63683,1.01256,0.41002,0.00195,0.004918,0.004918,0.004918
156,67629.3,1.22572,0.56482,0.00205,0.91615,0.78673,0.82711,0.6368,1.01282,0.40905,0.00195,0.004885,0.004885,0.004885
157,70217.2,1.21888,0.58316,0.00203,0.91531,0.78601,0.82726,0.63737,1.01196,0.40958,0.00195,0.004852,0.004852,0.004852
158,72757.8,1.22268,0.5646,0.0021,0.914,0.78712,0.82988,0.63935,1.01186,0.40788,0.00195,0.004819,0.004819,0.004819
159,75323,1.22295,0.57538,0.00202,0.91866,0.7842,0.83062,0.63985,1.0123,0.408,0.00195,0.004786,0.004786,0.004786
160,77879.3,1.23213,0.575,0.00203,0.91306,0.78989,0.83087,0.64026,1.01251,0.40817,0.00194,0.004753,0.004753,0.004753
161,80384.7,1.22584,0.57829,0.00202,0.91323,0.78776,0.83416,0.64261,1.01267,0.40766,0.00194,0.00472,0.00472,0.00472
162,82938.4,1.22723,0.57851,0.00204,0.9156,0.78647,0.82979,0.6402,1.01202,0.40714,0.00194,0.004687,0.004687,0.004687
163,85480.5,1.2247,0.56481,0.00194,0.91468,0.7862,0.82976,0.64016,1.01146,0.40687,0.00194,0.004654,0.004654,0.004654
164,88205.8,1.2248,0.58157,0.00207,0.91616,0.78997,0.83121,0.64126,1.01118,0.4057,0.00194,0.004621,0.004621,0.004621
165,90964.8,1.21892,0.57099,0.0021,0.91589,0.78868,0.83533,0.64492,1.01045,0.40696,0.00193,0.004588,0.004588,0.004588
166,93699,1.21958,0.57278,0.00204,0.91376,0.78603,0.83447,0.6448,1.01005,0.40699,0.00194,0.004555,0.004555,0.004555
167,96266.4,1.21064,0.56393,0.00194,0.91511,0.78481,0.83049,0.64225,1.00995,0.40643,0.00194,0.004522,0.004522,0.004522
168,98805.8,1.22342,0.56158,0.00213,0.91285,0.79005,0.82836,0.64056,1.00984,0.40645,0.00193,0.004489,0.004489,0.004489
169,101221,1.21642,0.56222,0.00195,0.91859,0.78669,0.82881,0.64095,1.00931,0.40599,0.00193,0.004456,0.004456,0.004456
170,103733,1.21724,0.58291,0.00212,0.92071,0.78499,0.82989,0.64175,1.00846,0.40653,0.00193,0.004423,0.004423,0.004423
171,106222,1.22769,0.57115,0.00202,0.91925,0.78809,0.83062,0.64195,1.00834,0.40592,0.00193,0.00439,0.00439,0.00439
172,108765,1.22213,0.5571,0.00197,0.9221,0.78841,0.83662,0.64653,1.00811,0.40515,0.00193,0.004357,0.004357,0.004357
173,111172,1.22225,0.56929,0.00211,0.92117,0.78672,0.83642,0.64652,1.00723,0.40517,0.00193,0.004324,0.004324,0.004324
174,113542,1.23301,0.57265,0.00211,0.91892,0.78812,0.83605,0.64612,1.00673,0.40496,0.00192,0.004291,0.004291,0.004291
